open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,change_5,change_10,change_20,label_change,label_change_5,weeks,week_day,label_y,label_y_5
21.71,21.77,21.0,21.24,21.7,-0.46,-2.12,283179.91,602675.218,21.73,22.021,22.077,306472.18600000005,454481.06399999995,476842.231,-0.19,-0.023000000000000024,-0.12349999999999998,0,0,49,5,13.0,14.0
21.26,21.96,21.26,21.37,21.24,0.13,0.61,286733.6,620475.7879,21.594,21.935,21.9805,294753.794,418082.91000000003,463353.92000000004,-0.13599999999999998,-0.08600000000000002,-0.0965,1,0,49,4,13.0,14.0
21.53,22.58,21.24,22.58,21.37,1.21,5.66,549005.74,1214267.915,21.727999999999998,22.055,21.964499999999997,324347.99,423899.917,470197.0505,0.134,0.11999999999999997,-0.016000000000000004,1,1,49,3,15.0,14.0
22.33,22.45,22.01,22.2,22.58,-0.38,-1.68,303346.03,675283.309,21.817999999999998,22.007,21.942,332590.698,391004.39,467597.5095,0.09000000000000001,-0.04800000000000003,-0.0225,0,1,48,2,14.0,14.0
21.62,22.32,21.41,22.0,22.2,-0.2,-0.9,276174.0,601515.1868,21.877999999999997,21.899,21.912,339687.856,330367.894,466979.05650000006,0.06,-0.10800000000000003,-0.030000000000000006,0,1,48,1,14.0,14.0
21.88,22.08,21.45,21.56,22.0,-0.44,-2.0,206423.07,447137.5464,21.942,21.836000000000002,21.86,324336.488,315404.33699999994,455157.909,0.064,-0.06300000000000003,-0.052000000000000005,0,1,48,5,14.0,14.0
21.6,22.15,21.53,22.0,21.56,0.44,2.04,248170.26,543120.2283,22.068,21.831,21.8375,316623.82,305688.807,437976.62649999995,0.12600000000000003,-0.005000000000000032,-0.0225,1,1,48,4,14.0,14.0
22.2,22.38,22.02,22.28,22.0,0.28,1.27,253839.64,564177.4591,22.008,21.868000000000002,21.9035,257590.6,290969.29500000004,403916.635,-0.05999999999999998,0.03699999999999997,0.066,1,0,48,3,14.0,14.0
22.21,22.35,22.08,22.11,22.28,-0.17,-0.76,139102.29,308844.8708,21.990000000000002,21.904,21.960500000000003,224741.852,278666.275,384812.0125,-0.017999999999999978,0.03599999999999996,0.05700000000000001,0,0,47,2,14.0,14.0
22.17,22.6,22.17,22.45,22.11,0.34,1.54,188385.63,422488.2809,22.080000000000002,21.979,22.0115,207184.178,273436.017,367255.871,0.09000000000000004,0.07499999999999998,0.051000000000000004,1,1,47,1,14.0,14.0
22.31,22.45,22.08,22.1,22.45,-0.35,-1.56,165777.59,367933.7094,22.188,22.065,22.043,199055.08200000002,261695.785,358088.4245,0.10800000000000001,0.08599999999999998,0.03150000000000001,0,1,47,5,14.0,15.0
22.03,22.05,21.4,21.55,22.1,-0.55,-2.49,237781.28,513377.9364,22.098000000000003,22.083,22.009,196977.28600000002,256800.553,337441.7315,-0.09,0.01799999999999997,-0.033999999999999996,0,0,47,4,14.0,15.0
21.41,21.79,21.22,21.71,21.55,0.16,0.74,231486.45,497531.4596,21.984,21.996000000000002,22.0255,192506.64800000002,225048.624,324474.2705,-0.11399999999999999,-0.08700000000000002,0.016500000000000004,1,0,47,3,14.0,15.0
21.67,22.41,21.61,22.15,21.71,0.44,2.03,347878.98,770836.5367,21.992,21.991,21.999000000000002,234261.98600000003,229501.919,310253.1545,0.008000000000000007,-0.005000000000000027,-0.026500000000000003,1,1,46,2,14.0,15.0
22.01,22.62,21.98,22.45,22.15,0.3,1.35,450217.3,1008966.463,21.991999999999997,22.035999999999998,21.967499999999998,286628.32,246906.249,288637.0715,-1.1102230246251566e-17,0.04499999999999997,-0.03150000000000001,1,0,46,1,14.0,16.0
22.89,23.96,22.89,23.11,22.45,0.66,2.94,684647.27,1599219.81,22.194,22.191000000000003,22.0135,390402.256,294728.66900000005,305066.50299999997,0.202,0.15499999999999997,0.046,1,1,46,5,15.0,16.0
23.11,23.35,22.8,23.3,23.11,0.19,0.82,284111.39,655444.6717,22.544,22.321,22.076,399668.27800000005,298322.782,302005.7945,0.35,0.12999999999999998,0.0625,1,1,46,4,15.0,15.0
23.32,23.63,23.0,23.1,23.3,-0.2,-0.86,376320.84,877389.7669,22.822,22.403000000000002,22.1355,428635.1560000001,310570.902,300770.09849999996,0.278,0.08199999999999998,0.05950000000000001,0,1,46,3,15.0,16.0
23.1,23.49,23.05,23.27,23.1,0.17,0.74,291842.1,681193.9057,23.046,22.519,22.2115,417427.78,325844.883,302255.579,0.22399999999999998,0.11599999999999996,0.076,1,1,45,2,15.0,15.0
23.32,24.05,23.06,23.85,23.27,0.58,2.49,441053.92,1045698.959,23.326,22.659,22.319,415595.104,351111.712,312273.8645,0.27999999999999997,0.13999999999999996,0.10750000000000001,1,1,45,1,16.0,14.0
23.88,24.27,23.5,23.82,23.85,-0.03,-0.13,394360.14,943966.3098,23.468,22.831,22.448,357537.678,373969.967,317832.87600000005,0.142,0.17199999999999996,0.129,0,1,45,5,16.0,15.0
23.71,24.08,23.35,23.4,23.82,-0.42,-1.76,211058.84,499356.4523,23.488,23.016,22.549500000000002,342927.16799999995,371297.723,314049.138,0.020000000000000018,0.18499999999999997,0.1015,0,1,45,4,15.0,15.0
23.55,23.97,23.39,23.66,23.4,0.26,1.11,241218.35,571453.92,23.6,23.211000000000002,22.6035,315906.67000000004,372270.913,298659.7685,0.11200000000000002,0.19499999999999998,0.05400000000000001,1,1,45,3,16.0,15.0
23.55,23.55,22.88,22.92,23.66,-0.74,-3.13,283073.35,655910.2082,23.53,23.288,22.6395,314152.92,365790.35,297646.13450000004,-0.06999999999999999,0.07699999999999999,0.03600000000000002,0,0,44,2,15.0,15.0
22.88,22.88,22.2,22.39,22.92,-0.53,-2.31,189089.95,424857.0738,23.238,23.282,22.659,263760.126,339677.615,293291.932,-0.292,-0.006000000000000022,0.019500000000000017,0,0,44,1,14.0,15.0
22.39,22.63,22.24,22.55,22.39,0.16,0.71,196848.75,441221.8968,22.984,23.226,22.7085,224257.848,290897.763,292813.21599999996,-0.254,-0.056000000000000015,0.049500000000000016,1,0,44,5,15.0,15.0
22.62,23.2,22.46,23.19,22.55,0.64,2.84,192859.71,441162.4644,22.942,23.215,22.768,220618.02200000003,281772.59500000003,290047.6885,-0.041999999999999996,-0.01100000000000002,0.05950000000000002,1,0,44,4,15.0,15.0
23.25,23.5,22.98,23.05,23.19,-0.14,-0.6,218152.2,507527.2618,22.82,23.21,22.8065,216004.792,265955.73099999997,288263.3165,-0.122,-0.005000000000000027,0.03850000000000001,0,0,44,3,15.0,14.0
